--------- beginning of main
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: Voilatile gRPC failure INVALID_ARGUMENT: Application credential header not valid. Please fix the client to pass a valid application credential header. [CONTEXT service_id=6 ]
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: jlsp: INVALID_ARGUMENT: Application credential header not valid. Please fix the client to pass a valid application credential header.
06-22 18:27:53.905   700   711 I ndroid.systemui: Background concurrent copying GC freed 356400(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 89us,52us total 116.913ms
06-22 18:27:55.745  2632  2632 W ThreadPoolForeg: type=1400 audit(0.0:1754): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:27:56.328   700   711 I ndroid.systemui: Background concurrent copying GC freed 364888(19MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 88us,55us total 107.271ms
06-22 18:27:59.507   700   711 I ndroid.systemui: Background concurrent copying GC freed 364437(19MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 88us,821us total 133.492ms
06-22 18:28:00.052  1425  1723 I AiAiEcho: Predicting[0]: 
06-22 18:28:00.053  1425  1723 I AiAiEcho: Ranked targets strategy: SORT, count: 0, ranking metadata: 
06-22 18:28:00.061  1425  1723 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface lockscreen with targets# 0
06-22 18:28:00.066  1425  1723 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface home with targets# 0
06-22 18:28:00.070  1425  1723 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface media_data_manager with targets# 0
06-22 18:28:00.071   700   957 D EGL_emulation: app_time_stats: avg=59981.46ms min=59981.46ms max=59981.46ms count=1
06-22 18:28:00.077   700   700 D SsMediaDataProvider: Forwarding Smartspace updates []
06-22 18:28:01.907   700   957 D EGL_emulation: app_time_stats: avg=1835.86ms min=1835.86ms max=1835.86ms count=1
06-22 18:28:02.270   700   711 I ndroid.systemui: Background young concurrent copying GC freed 329869(17MB) AllocSpace objects, 1(20KB) LOS objects, 49% free, 17MB/33MB, paused 19.944ms,739us total 162.955ms
06-22 18:28:03.148   700   711 I ndroid.systemui: Background concurrent copying GC freed 364447(19MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 89us,52us total 127.323ms
06-22 18:28:04.789   700   711 I ndroid.systemui: Background concurrent copying GC freed 361231(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/32MB, paused 64us,60us total 102.056ms
06-22 18:28:04.873  1527  1527 W ThreadPoolForeg: type=1400 audit(0.0:1755): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:28:05.388   500   580 D ActivityManager: freezing 7774 com.google.process.gservices
06-22 18:28:06.356   700   711 I ndroid.systemui: Background concurrent copying GC freed 345201(18MB) AllocSpace objects, 0(0B) LOS objects, 50% free, 16MB/33MB, paused 726us,472us total 102.676ms
06-22 18:28:10.565  5707  5707 W ThreadPoolForeg: type=1400 audit(0.0:1756): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
